留学国别	院校中文	院校外文
波兰	波兰科学院免疫学与实验治疗研究所	Polskiej Akademii Nauk Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda we Wrocławiu
波兰	波兰科学院空间研究中心	Centrum Badań Kosmicznych Polskiej Akademii Nauk
波兰	波美拉尼亚医科大学	Pomeranian Medical University in Szczecin
德国	IST管理学院	IST-Hochschule für Management
德国	奥芬堡应用技术大学	Hochschule für Technik, Wirtschaft und Medien Offenburg
德国	柏林商学院	BSP Business School Berlin - Hochschule für Management Gmbh
德国	汉诺威莱伯尼茨应用技术大学	Leibniz-Fachhochschule
俄罗斯	俄罗斯伊斯兰学院	Российский исламский институт
俄罗斯	俄罗斯科学院合成高分子材料研究所	Институт синтетических полимерных материалов им. Н.С. Ениколопова Российской академии наук
俄罗斯	俄罗斯科学院基因生物学研究所	Институт биологии гена РАН
俄罗斯	俄罗斯科学院应用物理研究所	Институт прикладной физики Российской академии наук
俄罗斯	俄罗斯科学院生物有机化学研究所	Институт биоорганической химии им. М.М. Шемякина и Ю.А. Овчинникова РАН
俄罗斯	国际设计与服务学院	Международный Институт Дизайна и Сервиса
俄罗斯	奥伦堡国立农业大学	Оренбургский государственный аграрный университет
俄罗斯	尤戈尔斯克国立大学	Югорский государственный университет
俄罗斯	斯摩棱斯克国立艺术学院	Смоленский государственный институт искусств
俄罗斯	沃罗涅什国立农业大学	Воронежский государственный аграрный университет имени императора Петра I
俄罗斯	社会教育学院	Академия социального образования
法国	国立高等农业教育培训学院	ENSFEA: Ecole Nationale Supérieure de Formation de l’Enseignement Agricole
法国	里尔电信学院	Télécom Lille
法国	波尔多国立高等电子、信息与无线电通讯学院	ENSEIRB : Ecole National Supérieure Electronique, Informatique et Radiocommunication de Bordeaux
法国	巴黎东部马恩－拉瓦雷大学工程师学院	Ecole Supérieure d'Ingénieures de Paris-Est de Université de Paris-Est Marne La Vallée
法国	里昂国立舞蹈中心	Centre National de la Danse de Lyon
法国	瓦朗谢纳高等艺术与设计学院	Ecole supérieure d'art et de design de Valenciennes
法国	国立高等戏剧艺术与技术学院	ENSATT：Ecole Nationale Supérieure des Arts et Techniques du Théâtre
法国	布列塔尼大西洋管理学院	EMBA : Ecole de Management Bretagne Atlantique
法国	阿尔松别墅尼斯国立高等艺术学院	Ecole Nationale Supérieure d'Art de NICE-VILLA ARSON
法国	贝尔福高等商业技术学院	ESTA Belfort: Ecole Supérieure des Technologies et des Affaires de Belfort
法国	洛林大学南锡高等工程科学与技术学院	Université de Lorraine, Ecole Supérieure des Sciences et Technologies de l'Ingénieur de Nancy
法国	第戎大学材料研究高等工程师学院	Ecole Supérieure d'Ingénieurs de Recherche en Matériaux de l'Université de Dijon
法国	格勒诺布尔国立高等先进技术与网络学院	IP Grenoble-ENSSAR: Ecole Nationale Supérieure en Systèmes Avancés et Réseaux
法国	尚博里昂大学教学与研究中心	Centre Universitaire de Formation et de Recherche du Nord-Est Midi Pyrénées Jean-François Champollion
法国	勒芒大学国立高等工程师学院	Université du Mans, Ecole Nationale Supérieure d'Ingénieurs du Mans
法国	勒芒材料工程学院	ISMANS: Institut Supérieur des Matériaux du Mans
法国	法国先进机械学院	IFMA: Institut Français de Mécanique Avancée
菲律宾	南棉兰老岛学院	Southern Mindanao Colleges
菲律宾	圣巴勃罗学院	San Pablo Colleges
菲律宾	圣拜达大学	San Beda University
菲律宾	圣裘德学院	St.Jude College
菲律宾	菲律宾联合学院	Philippine Union College
菲律宾	拉芬斯科拉提卡学院	La Finns Scholastica Colleges
菲律宾	棉兰老州立大学伊利甘理工学院	Mindanao State University - Iligan Institute of Technology
菲律宾	比科尔基督教医学院	Bicol Christian College of Medicine
菲律宾	菲律宾南部农商与海洋水产技术学院	Southern Philippines Agri-Business and Marine and Aquatic School of Technology
菲律宾	阿雷利亚诺大学	Arellano University
菲律宾	马尼拉中心大学	Manila Central University
菲律宾	西内格罗学院	West Negros College
哥伦比亚	潘普洛纳大学	Universidad de Pamplona
哥伦比亚	美洲基金会大学	Fundación Universidad de América
哥斯达黎加	哥斯达黎加天主教大学	Universidad Católica de Costa Rica
格鲁吉亚	格鲁吉亚航空大学	Georgian Aviation University
韩国	东亚放送艺术大学	동아방송예술대학교
韩国	忠北道立大学	충북도립대학
韩国	新丘大学	신구대학교
韩国	木浦科学大学	목포과학대학교
韩国	首尔长神大学	서울장신대학교
韩国	湖南神学大学	호남신학대학교
荷兰	艾德应用科学大学	EDE Christian University of Applied Sciences (CHE)
吉尔吉斯斯坦	吉尔吉斯国立音乐学院	Кыргызская Национальная Консерватория имени К Молдобасанова
吉尔吉斯斯坦	吉尔吉斯国际大学	Международный университет Кыргызской Республики
加拿大	加拿大门诺莱特大学	Canadian Mennonite University
加拿大	维耶蒙特利尔学校	Cégep du Vieux Montréal
加拿大	蒙克顿大学	Université de Moncton
捷克	托马斯拔佳大学	Tomas Bata University in Zlín
捷克	赫拉德茨·克拉洛维大学	University of Hradec Králové
喀麦隆	杜阿拉大学高等经济与商业科学学校	Ecole Supérieure des Sciences Economiques et Commerciales de l'Université de Douala
肯尼亚	晨星大学	Daystar University
黎巴嫩	伊斯兰研究宣教大学学院	Dawa University Institute for Islamic Studies
立陶宛	国际法律与商务学院	International School of Law and Business
罗马尼亚	加拉茨下多瑙河大学	UNIVERSITATEA „DUNĂREA DE JOS" DIN GALAŢI
罗马尼亚	锡比乌大学	Universitatea “Lucian Blaga”din Sibiu
马达加斯加	计算机大学	Univers Informatique
马来西亚	苏丹宰因阿比丁大学	Universiti Sultan Zainal Abidin
马来西亚	苏丹阿卜杜拉哈林姆阿让沙理工学院	Politeknik Sultan Abdul Halim Mu'adzam Shah
马来西亚	马来西亚商学院	Malaysian Integrated Business College
马来西亚	奥林匹亚学院	Olympia College
美国	世界政治学院	The Institute of World Politics
美国	中北大学（明尼苏达州）	North Central University
美国	中央州立大学	Central State University
美国	丹佛社区学院	Community College of Denver
美国	克拉夫林大学	Claflin University
美国	兰斯顿大学	Langston University
美国	内布拉斯加卫斯理大学	Nebraska Wesleyan University
美国	切斯努特山学院	Chestnut Hill College
美国	北中央州立学院	North Central State College
美国	南德克萨斯法学院	South Texas College of Law
美国	卡梅隆大学	Cameron University
美国	史蒂文森大学	Stevenson University
美国	东拿撒勒学院	Eastern Nazarene College
美国	圣华金三角洲学院	San Joaquin Delta College
美国	圣安那学院	Santa Ana College
美国	圣芭芭拉与文图拉法学院	The Santa Barbara and Ventura Colleges of Law
美国	克拉克高峰大学	Clarks Summit University
美国	巴克利学院	Barclay College
美国	希尔学院	Hill College
美国	帕洛马尔学院	Palomar College
美国	康考德大学	Concord University
美国	戈登康维尔神学院	Gordon-Conwell Theological Seminary
美国	斯威特布莱尔学院	Sweet Briar College
美国	斯腾山大学	Seton Hill University
美国	新英格兰理工学院	New England Institute of Technology
美国	普林西匹亚学院	Principia College
美国	查费学院	Chaffey College
美国	沃尔什大学	Walsh University
美国	波尔克州立学院	Polk State College
美国	波音特洛玛拿撒勒大学	Point Loma Nazarene University
美国	玛利亚大学	Marian University
美国	瓦伦西亚学院	Valencia college
美国	瓦利堡州立大学	Fort Valley State University
美国	科尔比社区学院	Colby Community College
美国	约瑟夫宗教学院	Pontifical College Josephinum
美国	纽约州立大学坎顿分校	State University of New York College of Technology at Canton
美国	纽约州立大学德里分校	State University of New York, College of Technology at Delhi
美国	纽约州立大学阿尔弗雷德分校	State University of New York, College of Technology at Alfred
美国	缅因大学奥格斯塔分校	University of Maine at Augusta
美国	罗杰斯州立大学	Rogers State University
美国	美国体育学院	United States Sports Academy
美国	芝加哥州立大学	Chicago State University
美国	莫伯利区社区学院	Moberly Area Community College
美国	萧尔大学	Shaw University
美国	西南上帝会大学	Southwestern Assemblies of God University
美国	西南基督复临大学	Southwestern Adventist University
美国	西雅图电影学院	Seattle Film Institute
美国	路易斯安那大学门罗分校	The University of Louisiana at Monroe
美国	迈尔斯学院	Miles College
美国	迈诺特州立大学	Minot State University
美国	里维尔大学	Rivier University
美国	锡耶纳学院	Siena College
美国	阿帕拉契圣经学院	Appalachian Bible College
美国	阿拉梅达学院	College of Alameda
美国	阿罗修斯山学院	Mount Aloysius College
美国	雅典州立大学	Athens State University
美国	霍华德佩恩大学	Howard Payne University
美国	马绍尔群岛学院	College of the Marshall Islands
美国	马萨诸塞湾社区学院	Massachusetts Bay Community College
美国	马里兰圣母大学	Notre Dame of Maryland University
美国	鹰眼社区学院	Hawkeye Community College
美国	麦克丹尼尔学院	McDaniel College
缅甸	仰光第二医科大学	University of Medicine 2, Yangon
摩洛哥	拉巴特国家建筑学院	Ecole Nationale d'Architecture, Rabat
墨西哥	拉丁美洲大学	Universidad Latina de América
墨西哥	波多西科学与技术研究院	Instituto Potosino de Investigación Científica y Tecnológia, A. C.
墨西哥	英美大学中心托雷翁学校	Centro Universitario Angloamericano Plantel Torreón
墨西哥	莱昂理工大学	Universidad Tecnológica de León
南非	恩伯里教师教育学院	Embury Institute for Teacher Education
南非	培训与研究创新学院	Akademie Reformatoriese Opleiding en Studies
南非	米尔帕克教育学院	Milpark Education
南非	莱索夫学院	LISOF
南非	CTI教育学院	CTI Education Group
尼加拉瓜	圣托马斯大学	Universidad Santo Tomás de Oriente y Medio Día
尼加拉瓜	都会大学	Universidad Metropolitana
葡萄牙	里斯本自治大学	Universidade Autónoma de Lisboa
葡萄牙	马亚大学学院	Instituto Universitário da Maia-ISMAI
日本	东京医疗福祉专门学校	東京医療福祉専門学校
日本	大阪糕点烹饪专门学校梅田校区	大阪調理製菓専門学校ecole UMEDA
日本	ESP音乐学院福冈校区	専門学校ESPエンタテインメント福岡
日本	上智大学短期大学部	上智大学短期大学部
日本	新宿情报商务专门学校	新宿情報ビジネス専門学校
日本	阪神汽车航空铁道专门学校	阪神自動車航空鉄道専門学校
日本	东京医疗运动专门学校	東京メディカル・スポーツ専門学校
日本	大阪婚礼专门学校	大阪ブライダル専門学校
日本	东京运动与休闲专门学校	東京スポーツ・レクリエーション専門学校
日本	圣凯瑟琳大学	聖カタリナ大学
日本	奈良学园大学	奈良学園大学
日本	帝塚山学院大学	帝塚山学院大学
日本	琵琶湖成蹊体育大学	びわこ成蹊スポーツ大学
日本	白梅学园大学	白梅学園大学
日本	东京齿科大学	東京歯科大学
日本	千叶经济大学	千葉経済大学
塞尔维亚	尼古拉·特斯拉联盟大学	Union - Nikola Tesla University
塞尔维亚	欧洲大学	European University
塞尔维亚	贝尔格莱德足球学院	Football Academy Belgrade
塞浦路斯	菲利浦斯学院	The Philips College
斯洛文尼亚	约瑟夫·史蒂芬国际研究生院	Mednarodna podiplomska šola Jožefa Stefana
斯洛文尼亚	马里博尔大学	University of Maribor
苏丹	迦卜拉学院	Gabra Academic College
塔吉克斯坦	塔吉克斯坦国立师范大学	Таджикский государственный педагогический Университет имени Садриддин Айнӣ
泰国	四色菊皇家大学	Sisaket Rajabhat University
泰国	远东大学	The Far Eastern University
坦桑尼亚	马库米拉图玛伊尼大学达累斯萨拉姆学院	Tumaini University Makumira, Dar es Salaam College
特立尼达和多巴哥	特立尼达和多巴哥科学、技术与应用艺术学院	College of Science, Technology and Applied Arts of Trinidad and Tobago
突尼斯	纳布勒高等技术学院	Institut Supérieur des Etudes Technologiques de Nabeul
突尼斯	比赛大高等技术学院	Institut Supérieur des Etudes Technologiques de Bizerte
土耳其	哈利德米尔大学	Nigde Omer Halisdemir University
委内瑞拉	埃希多技术大学学院	Instituto Universitario de Tecnología de Ejido
委内瑞拉	西蒙·罗德里格斯实验国立大学	Universidad Nacional Experimental Simón Rodríguez
委内瑞拉	解放者实验教学大学	Universidad Pedagógica Experimental Libertador
乌干达	姆巴拉拉科技大学	Mbarara University of Science and Technology
乌克兰	乌克兰国家科学院宇宙研究所	Інститут космічних досліджень НАН України
乌克兰	乌克兰国家科学院电子物理与辐射技术研究所	Інститут електрофізики і радіаційних технологій НАН України
乌克兰	乌克兰国家科学院细胞生物学和基因工程研究所	Інститут клітинної біології і генетичної інженерії НАН України
乌克兰	乌克兰国家科学院表面化学研究所	Інститут хімії поверхні НАН України
乌克兰	人类发展开放国际大学“乌克兰”尼古拉耶夫跨区域学院	Mykolaiv Interregional Institute of Human Development of Higher Educational Institution "Open International University of Human Development "Ukraine"
乌克兰	克列缅丘格国立大学	Kremenchuk Mykhailo Ostrohradskyi National University
乌克兰	国家科学中心“哈尔科夫物理与技术研究所”	National Science Center «Kharkov Institute of Physics and Technology»
乌克兰	基辅国立文化艺术大学尼古拉耶夫分校	Mykolaiv Branch of Kyiv National University of Culture and Arts
乌克兰	基辅国立文化艺术大学顿涅茨克学院	Донецький факультет Київського національного університету культури і мистецтв
乌克兰	基辅斯拉夫大学斯拉夫学学院	Рівненський інститут слов'янознавства Київського славістичного університету
乌克兰	基辅经济管理学院	Kyiv Economic Institute of Management
乌克兰	尼古拉耶夫国立农业大学	Mykolayiv National Agrarian University
乌克兰	海关事务与财政大学	Університет митної справи та фінансів
乌克兰	电动力学研究所	Інститут електродинаміки
乌克兰	萨尔瓦多·达利造型与设计艺术学院	Мистецький інститут художнього моделювання та дизайну імені Сальвадора Далі
乌克兰	赫梅利尼茨基合作贸易与经济学院	 Khmelnytskyi Cooperative Trade and Economic Institute
乌拉圭	乌拉圭奥特大学	Universidad ORT Uruguay
乌兹别克斯坦	撒马尔罕国立外国语学院	Samarkand State Institute of Foreign Languages
新西兰	尼尔森航空学院	Nelson Aviation College Limited
新西兰	新西兰国际旅游学院	The International Travel College of New Zealand
亚美尼亚	北方大学	Northern University
亚美尼亚	埃里温梅斯罗普·马什托茨大学	Yerevan Mesrop Mashtoc University
亚美尼亚	瓦纳佐尔国立大学	Vanadzor State University after H. Toumanyan
也门	哈贾大学	Hajjan Univeristy
伊朗	森南大学	Semnan University
伊朗	阿瓦兹沙希德·沙姆兰大学	Shahid Chamran University of Ahvaz
意大利	东皮埃蒙特大学	Università degli Studi del PIEMONTE Orientale "Amedeo Avogadro"-Vercelli
意大利	佛罗伦萨艺术产业高等研究院	Istituto Superiore per le Industrie Artistiche (ISIA) di FIRENZE
意大利	卡塔尼亚高等音乐学院	Istituto Superiore di Studi Musicali di CATANIA "Vincenzo Bellini"
意大利	帕维亚高等研究院	Istituto Universitario di Studi Superiori - PAVIA
印度	Sir K.P.商学院	Sir K.P. College of Commerce
印度	共生国际大学	Symbiosis International University
印度	南亚大学	South Asian University
印度	古韦姆布大学	Kuvempu University
印度	古鲁那纳克卡尔萨学院	Guru Nanak Khalsa College
印度	圣泽维尔学院	St. Xavier's College
印度	孟加拉邦工程与科学大学	Bengal Engineering and Science University, Shibpur
印度	彭奈亚拉马佳亚科技学院	Ponnaiyah Ramajayam Institute of Science and Technology
印度	恰尔肯德中央大学	Central University of Jharkhand
印度	苏卢尔拉斯纳韦苏布拉马尼亚姆艺术科学学院	Rathnavel Subramaniam College of Arts & Science, Sulur
印度	谢思RA科学学院	Sheth R.A. College of Science
印度	贾伊比信息技术学院	Jaypee Institute of Information Technology
印度	阿拉哈巴德莫蒂尔·尼赫鲁国家技术学院	Motilal Nehru National Institute of Technology Allahabad
印度	马德拉斯基督教学院	Madras Christian College
印度尼西亚	古纳达玛大学	Universitas Gunadarma
印度尼西亚	安巴鲁莫旅游学院	Sekolah Tinggi Pariwisata Ambarrukmo
英国	纽曼大学	Newman University, Birmingham
越南	LADEC工程技术职业学院	LaDec Vocational College of Engineering and Technology
越南	胡志明市技术大学	Ho Chi Minh City University of Technology
智利	圣托马斯大学	Universidad Santo Tomás
智利	教育科学都市大学	Universidad Metropolitana de Ciencias de la Educación
智利	瓦尔帕莱索天主教大学	Pontificia Universidad Católica de Valparaíso
智利	边境大学	Universidad de la Frontera
